stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_timezone,location_type,parent_station,platform_code
78,78,78,-4.025479423648344,56.90840675953371,yes,NA,NA,NA,NA
48,48,48,-4.039025479592393,56.90914565293401,yes,NA,NA,NA,NA
47,47,47,-4.042880913195185,56.90908267245412,yes,NA,NA,NA,NA
44,44,44,-4.048611527558369,56.908029603556365,yes,NA,NA,NA,NA
41,41,41,-4.050381529480068,56.90512285718492,yes,NA,NA,NA,NA
39,39,39,-4.048401534230167,56.9041961005154,yes,NA,NA,NA,NA
43,43,43,-4.046421636896625,56.90326931165858,yes,NA,NA,NA,NA
12,12,12,-4.043451974479129,56.90187906802944,yes,NA,NA,NA,NA
3,3,3,-4.048191593079877,56.90036259460507,yes,NA,NA,NA,NA
2,2,2,-4.0479817040896044,56.896529085825456,yes,NA,NA,NA,NA
28,28,28,-4.043190213031898,56.897087168608216,yes,NA,NA,NA,NA
27,27,27,-4.042252825377575,56.897582115567616,yes,NA,NA,NA,NA
57,57,57,-4.038816459456836,56.905312127678584,yes,NA,NA,NA,NA
59,59,59,-4.039806357710721,56.90577558651788,yes,NA,NA,NA,NA
46,46,46,-4.0427761993718185,56.9071659147646,yes,NA,NA,NA,NA
54,54,54,-4.043661442185293,56.90571258434106,yes,NA,NA,NA,NA
42,42,42,-4.04652652191055,56.90518606619355,yes,NA,NA,NA,NA
85,85,85,-4.027251247933729,56.90550032856016,yes,NA,NA,NA,NA
75,75,75,-4.0300645276867755,56.90401579820428,yes,NA,NA,NA,NA
76,76,76,-4.030012507493683,56.9030574110387,yes,NA,NA,NA,NA
64,64,64,-4.039701814569726,56.903858824138986,yes,NA,NA,NA,NA
51,51,51,-4.042566810756301,56.90333239723567,yes,NA,NA,NA,NA
56,56,56,-4.041681579415506,56.90478572033031,yes,NA,NA,NA,NA
52,52,52,-4.042671498559603,56.905249156358465,yes,NA,NA,NA,NA
40,40,40,-4.050276447258221,56.903206107246376,yes,NA,NA,NA,NA
102,102,102,-4.032773408692687,56.900614434094756,yes,NA,NA,NA,NA
118,118,118,-4.0307940844463355,56.89968739313148,yes,NA,NA,NA,NA
92,92,92,-4.028814858097946,56.89876032000571,yes,NA,NA,NA,NA
120,120,120,-4.026939589856626,56.89974999425268,yes,NA,NA,NA,NA
124,124,124,-4.024856699076086,56.8969060772797,yes,NA,NA,NA,NA
123,123,123,-4.0230850796415885,56.89981247655091,yes,NA,NA,NA,NA
91,91,91,-4.022302804735253,56.90318245095784,yes,NA,NA,NA,NA
87,87,87,-4.023292444410047,56.90364604255861,yes,NA,NA,NA,NA
89,89,89,-4.024282108566699,56.904109626119606,yes,NA,NA,NA,NA
86,86,86,-4.023396146119804,56.90556282449101,yes,NA,NA,NA,NA
