zone_id,1.1,1.2,1.3,2.1,2.2,2.3,3.0,4.0,4.1,4.2,4.3,5.0,5.1,5.2,5.3,6.0,6.1,6.2,6.3,7.0,7.1,7.12,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8.0,8.1,8.2,8.3,9.0,10.0,10.1,10.2,10.3,10.4,10.5,10.6,10.7,10.8,10.9,11.0,12.0,12.1,12.2,12.3,12.4,12.6,13.0,13.1,13.2,13.3,14.0,14.1,14.2,14.3,15.0,15.1,15.2,15.3,16.0,16.1,16.2,16.3,17.0,17.1,17.2,17.3,17.4,17.5,17.6,17.7,17.9,18.0,18.1,18.2,18.3,19.0,19.1,19.2,19.3,19.4,19.5,19.6,20.0,20.1,20.2,20.3,21.0,21.1,21.2,21.3,22.0,22.1,22.2,22.3,23.0,23.1,23.2,23.3,24.0,24.1,24.2,24.4,24.5,24.6,24.7,24.8,24.9,25.0,25.1,25.11,25.12,25.2,25.3,25.4,25.6,25.7,25.8,25.9,26.0,26.1,26.2,26.3,27.0,27.1,27.2,27.3,28.0,28.1,28.2,28.3,29.0,29.1,29.2,29.3,30.0,30.1,30.2,30.3,30.6,30.7,30.8,30.9,31.0,32.0,32.1,32.2,32.3,32.4,32.5,32.6,32.7,32.9,33.0,33.1,33.3,35.0,36.0,36.1,36.2,36.3,36.4,36.5,36.6,37.0,37.1,37.2,37.3,38.0,38.1,38.2,38.3,39.0,39.2,39.3,40.0,40.1,40.2,40.3,41.0,41.1,41.2,41.3,42.1,42.2,42.3,42.4,42.5,42.6,43.0,43.1,43.2,43.3,43.4,43.5,43.6,44.0,44.1,44.2,44.3,45.0,45.1,45.2,45.3,46.0,46.1,46.2,46.3,46.4,46.5,46.6,46.7,46.8,46.9,47.0,47.1,47.11,47.2,47.3,47.4,47.5,47.6,47.7,47.8,47.9,48.0
0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,3.0,3.0,,2.0,2.0,3.0,9.0,3.0,2.0,1.0,,4.0,2.0,,1.0,6.0,1.0,1.0,3.0,,5.0,,,,1.0,1.0,1.0,1.0,,2.0,,2.0,,,,,1.0,,,,2.0,1.0,1.0,3.0,3.0,2.0,,1.0,,3.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,4.0,8.0,2.0,1.0,3.0,2.0,2.0,,1.0,,2.0,,2.0,1.0,2.0,1.0,1.0,,1.0,,,1.0,,,3.0,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,3.0,1.0,2.0,,2.0,2.0,,,1.0,1.0,1.0,1.0,,3.0,1.0,,,,,,,,,,,,1.0,,2.0,,1.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,,3.0,,,1.0,,,2.0,1.0,,,,1.0,,,2.0,,1.0,,1.0,,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,2.0,,2.0,,2.0,,,,,,1.0,,,1.0,1.0,1.0,,2.0,,4.0,4.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,2.0,3.0,1.0,1.0,1.0,2.0,,,2.0,,1.0,,2.0,2.0,,,,,,2.0,,,,,,
1.3,,2.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,3.0,1.0,,,1.0,1.0,,1.0,2.0,,1.0,,,,,,3.0,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,
2.0,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,
2.1,,2.0,,1.0,2.0,,5.0,2.0,,,,2.0,2.0,1.0,,1.0,,,1.0,,2.0,1.0,,,1.0,,,,,,2.0,2.0,,,,,,,,,2.0,,,1.0,,,,1.0,,,,,,,1.0,1.0,3.0,2.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,,3.0,1.0,2.0,1.0,,1.0,,,1.0,,,1.0,3.0,,,,2.0,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,,,,4.0,,,,,,1.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,,,1.0,,,,,
2.2,1.0,2.0,,1.0,,,,2.0,1.0,,4.0,2.0,1.0,1.0,,4.0,,,,1.0,,1.0,,,2.0,,1.0,,,1.0,,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,,2.0,,1.0,1.0,,2.0,,,1.0,,,1.0,,3.0,2.0,2.0,1.0,1.0,1.0,,,,,1.0,2.0,,,,,,3.0,,,1.0,1.0,,1.0,,2.0,1.0,1.0,,1.0,,2.0,1.0,,2.0,2.0,,,,,,3.0,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,,1.0,,2.0,1.0,,2.0,,,1.0,4.0,1.0,,,2.0,,1.0,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,1.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,1.0,,2.0,1.0,,3.0,2.0,,,,,,,,,1.0,,1.0,,1.0,,,,2.0,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,,,,1.0,,,1.0,3.0,3.0,,,,2.0,,1.0,,,,,,
2.3,,,,1.0,,1.0,4.0,,,,,1.0,1.0,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,2.0,,1.0,,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,2.0,,,,,,,,3.0,,,,1.0,2.0,,,,,,,,,,,,
